est_diameter_min,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
25,56,38740,10117677,25,0
18,41,44190,27241337,25,0
175,392,59654,49456189,20,0
63,141,31178,22078919,23,0
42,95,20568,41904404,23,0
29,65,23163,2317018,24,0
296,663,80524,38989250,19,0
13,30,81104,63979819,26,0
80,179,51868,4402641,22,0
17,39,28805,53526536,25,0
216,483,71964,39576244,20,1
29,65,50020,62554383,24,0
133,297,63003,53677342,21,0
65,146,22161,27745767,23,0
69,156,42056,62566539,22,0
76,171,77087,15210052,22,0
192,430,59428,44625531,20,1
13,30,58201,1032612,26,0
9,20,28688,23187596,27,0
25,56,56307,12200224,25,0
88,196,42745,12311778,22,0
31,71,80084,68707218,24,0
143,320,35649,35401281,21,0
9,20,28102,926510,27,0
12,28,75923,50989240,26,0
58,130,41850,49241124,23,0
36,82,65114,27027098,24,0
121,271,52486,40295986,21,1
16,35,47661,2100118,26,0
58,130,39523,48295455,23,0
40,90,35122,4695719,24,0
46,103,53942,37029994,23,0
192,430,44190,54536243,20,0
25,56,20840,6986918,25,0
16,35,32248,49850460,26,0
6,15,50356,38514331,27,0
38,85,24125,26036488,24,0
8,19,58989,94697,27,0
33,74,34056,4661871,24,0
4,11,83733,41691880,28,0
27,61,48977,28487862,24,0
152,342,69316,12927556,21,0
7,17,59892,71912113,27,0
22,50,56165,51571198,25,0
66,149,36763,45454456,23,0
35,78,71192,17398425,24,0
43,97,47484,33914899,23,0
4,10,67870,63442629,28,0
8,19,16145,334977,27,0
58,130,50884,21938215,23,0
2,5,30565,69228595,30,0
35,78,17317,73103399,24,0
29,65,28113,48081087,24,0
73,163,88685,36724720,22,0
6,15,40139,73183149,27,0
56,127,46430,50830057,23,0
42,94,28364,37643833,24,0
1,2,7682,162147,31,0
55,124,25355,38857934,23,0
48,108,25628,52356813,23,0
63,142,62971,15960885,23,0
175,392,41199,39336356,20,1
5,13,38092,1014324,28,0
36,82,33430,17796307,24,0
96,215,13093,59873591,22,0
214,478,72854,36949541,20,1
10,23,25534,1682891,27,0
48,108,29875,27746882,23,0
7,17,93275,24805072,27,0
84,187,26622,68905124,22,0
27,62,53202,5460275,24,0
152,342,108236,16285033,21,0
137,307,38157,66579912,21,1
58,130,67163,58941433,23,0
166,371,59139,59215292,21,0
3,7,23849,27764920,29,0
25,56,72964,11024233,25,0
127,284,79178,73143821,21,0
10,22,16671,432562,27,0
211,472,79408,65532336,20,0
5,11,10029,6961763,28,0
10,22,18520,2976317,27,0
14,32,44190,4613929,26,0
24,53,44745,5999063,25,0
12,28,20536,15042843,26,0
242,542,74015,62614250,20,1
12,28,7519,18754889,26,0
242,542,91030,39085697,20,0
175,392,37388,66514479,20,0
101,225,58862,33567534,22,0
291,651,104314,47393041,19,0
11,24,47096,63214691,26,0
16,35,26554,548334,26,0
15,34,54023,41729541,26,0
21,48,59582,37920113,25,0
44,98,22344,42615123,23,0
88,196,48687,38152856,22,0
177,396,38730,64264302,20,0
65,146,101613,73454203,23,0
10,22,69638,66823661,27,0
16,37,36965,3633925,26,0
56,127,29777,71207729,23,0
14,32,39056,4076682,26,0
16,35,44510,29020798,26,0
92,206,28931,45166456,22,0
6,13,9747,15976337,28,0
50,113,74539,54877181,23,0
58,130,100170,63732978,23,0
165,369,84037,66150929,21,0
116,259,23903,15322036,21,0
21,47,32011,1873750,25,0
24,54,21254,30265823,25,0
104,233,42137,59048471,22,0
21,47,30147,21008770,25,0
36,82,33273,24448991,24,0
19,43,30757,69921188,25,0
14,31,30567,1374668,26,0
23,51,51029,57022685,25,0
88,196,44731,9156549,22,0
11,25,41659,1698722,26,0
44,98,44617,57091219,23,0
35,78,49706,13478968,24,0
250,559,32388,45243276,20,0
136,304,64269,32277949,21,1
88,196,61733,54656686,22,0
38,85,22442,28011004,24,0
29,65,20163,4971417,24,0
31,71,66253,52368529,24,0
137,307,16634,65037311,23,0
30,68,46885,6361789,24,0
66,236,24256,41521661,23,0
14,32,21548,6912953,26,0
17,39,32682,43215156,25,0
72,162,81091,60555244,22,0
60,136,38692,48550510,23,0
92,206,48631,12134906,22,0
5,13,48767,33464021,28,0
40,89,53067,5407163,24,0
40,89,61953,4064996,24,0
80,179,53203,13985177,22,0
77,173,8617,57914368,22,0
253,567,83912,18822001,20,0
42,94,29018,9345178,24,0
192,430,44190,46708244,20,0
19,44,74791,1915333,25,0
44,98,32797,4811733,23,0
319,714,51175,20264819,19,0
5,12,18028,26168929,28,0
8,19,61572,52630466,27,0
319,714,97203,64352643,19,1
76,171,35902,44140269,22,0
24,54,64865,38416650,25,0
5,13,34354,265086,28,0
121,271,61234,57649674,21,0
13,31,21963,3911006,26,0
36,82,17008,18280774,24,0
42,94,94707,70788855,24,0
69,156,6385,37071732,22,0
8,18,19871,36818164,27,0
12,28,40848,3704848,26,0
284,636,90236,39259239,19,1
76,171,50210,26398219,22,0
152,342,20944,32599455,21,0
18,41,34951,13822886,25,0
231,517,64940,31826783,20,0
17,39,23780,440371,25,0
26,59,51278,755873,24,0
21,47,24951,62879844,25,0
23,51,13522,6894717,25,0
185,414,50584,74100167,20,0
5,11,34813,72443395,28,0
192,430,31497,37030100,20,1
183,411,44840,53973014,20,0
16,37,64906,35825786,26,0
305,682,6444,71540939,19,0
7,16,27844,5333357,27,0
26,59,34272,6058035,25,0
58,130,79797,5190920,23,0
6,14,14108,11408729,28,0
16,37,15504,26549974,23,0
22,49,51572,58200960,25,0
137,307,78903,35249387,21,0
69,156,41553,61493492,22,0
18,41,26460,49778923,25,0
90,201,42190,35816839,22,0
242,542,42570,29191261,20,0
15,34,53673,10386383,26,0
3,8,26103,502201,29,0
44,98,35462,59416609,23,0
34,77,75805,5554404,24,0
291,651,101217,57601571,19,0
116,259,43979,28662977,21,0
3,6,54076,40141841,29,0
70,157,29226,31385121,22,0
21,47,77165,68082104,25,0
96,215,53150,26226170,22,0
233,522,29729,25959195,20,0
3,8,31777,54179991,29,0
12,28,17738,5965957,26,0
55,124,23780,38007188,23,0
44,98,81421,6261184,23,0
73,163,37257,22673294,22,0
96,215,45967,63122323,22,0
8,17,54684,6804531,27,0
24,54,63609,66371410,25,0
60,136,46727,19840030,23,0
12,28,27340,33234180,26,0
60,136,50144,17385785,23,0
3,8,41083,223473,29,0
8,17,78589,71124557,27,0
5,11,62773,69606557,28,0
175,392,67576,42443825,20,1
5,13,30252,66161195,28,0
40,89,51981,11541520,24,0
20,45,29120,8923625,25,0
29,65,68064,64761617,24,0
146,326,76634,39990700,21,1
189,424,61456,28648919,20,0
25,56,20632,17042849,25,0
58,130,27680,66768150,23,0
265,594,38706,59662447,20,1
66,149,44534,9745893,23,0
13,29,26787,1819870,26,0
60,136,43457,19051266,23,0
66,149,103297,68569644,23,0
37,84,7944,63385508,24,0
11,24,22010,55425392,26,0
19,43,40266,7027283,25,0
15,34,9988,31980061,26,0
24,54,17819,13189323,25,0
175,392,8299,59645076,20,0
183,411,41809,45894607,23,0
105,235,27867,27187301,22,0
12,28,56267,24685381,26,0
128,288,52626,43386685,21,1
5,11,18126,22736130,28,0
5,11,55427,53599163,28,0
44,98,44190,9754803,23,0
6,14,40615,21604485,28,0
60,136,26554,56896599,23,0
31,69,62353,2027769,24,0
7,17,25953,48063962,27,0
3,7,20190,326831,29,0
5,11,37458,39796300,28,0
23,51,32352,55857670,25,0
48,108,41554,47099488,23,0
242,542,79490,32645428,20,0
27,62,47808,56177148,24,0
73,163,70909,29315148,22,0
183,411,78534,30029778,20,0
146,326,55684,72603076,21,0
25,56,15492,61713557,25,0
13,31,30296,1917768,26,0
12,27,38413,21776636,26,0
14,32,80357,74501936,26,0
27,62,26338,2224036,24,0
211,472,39833,63974690,20,0
38,85,56853,47540289,24,0
8,19,28385,1857214,27,0
40,89,64540,10841684,24,0
53,118,42822,31984114,23,0
223,498,29813,49512408,20,1
46,103,74279,66040424,23,0
16,35,30300,1578882,26,0
37,83,30088,55449485,24,0
66,149,53761,5214144,23,0
116,259,80960,64791318,21,0
7,17,27652,1158230,27,0
11,25,40707,26820017,26,0
42,94,40177,1999209,24,0
284,636,27777,68378044,19,0
133,299,24659,9621284,21,1
73,163,87451,47415529,22,0
63,142,6766,29485293,23,0
7,16,76540,124601,27,0
2,4,30397,35013545,30,0
92,206,71538,19374650,22,0
110,247,30172,67872464,21,0
133,297,8365,53888430,21,0
4,10,42207,57010264,28,0
21,47,15655,19296865,25,0
197,440,97953,51332725,20,0
29,65,23963,16874376,24,0
23,51,41205,69276052,25,0
9,20,31696,9176562,27,0
11,24,29205,38178893,26,0
15,34,28058,1406708,26,0
96,215,42865,33394897,22,0
12,27,42386,31149277,26,0
92,206,49232,44445732,22,0
12,28,60525,70027469,26,0
29,65,82347,4964167,24,0
305,682,66164,34009663,19,0
16,35,36621,7220105,26,0
13,31,49173,1664840,26,0
16,37,38066,15250747,26,0
6,13,68425,7430355,28,0
10,22,41209,46018521,27,0
105,236,44588,30415449,22,1
50,113,49349,19224076,23,0
7,16,32032,66820734,27,0
76,171,60483,35381874,22,0
9,22,36627,10425291,27,0
3,7,16059,51045130,29,0
69,156,50432,70382567,22,0
189,422,60245,26854839,20,0
192,430,75868,36828234,20,0
12,28,33209,15090602,26,0
174,390,26780,49158387,20,0
9,21,42479,664311,27,0
33,74,34461,71378162,24,0
16,37,34060,4480346,26,0
69,154,47816,53011879,22,0
8,19,69898,13817852,27,0
24,55,29958,9400556,25,0
53,118,16577,34141737,23,0
3,7,5653,276839,29,0
23,51,32105,56031797,25,0
46,103,80947,8228179,23,0
18,41,31113,12448549,25,0
26,58,35030,2800095,25,0
60,136,67950,25126810,23,0
58,130,9494,73343040,23,0
14,32,18198,25784345,26,0
60,136,14359,12736206,23,0
76,171,45571,46680112,22,0
4,10,61869,42414855,28,0
2,6,61341,68659222,29,0
73,163,73407,62631594,22,0
113,253,51884,40189989,21,0
33,74,60106,4667322,24,0
8,19,31851,72668579,23,0
13,29,39139,44573114,26,0
17,39,78244,62180727,25,0
105,236,65650,67889831,22,0
217,485,63386,47308409,20,0
16,37,67908,70446832,26,0
16,35,41239,5301061,26,0
23,51,27728,40914396,23,0
22,49,68666,564699,25,0
253,567,69480,65733682,20,0
14,32,18939,25537420,26,0
157,353,60323,33445166,21,1
286,639,25867,58694445,19,0
183,411,89944,29102965,20,1
88,196,47954,45878172,22,0
12,28,15495,23405351,26,0
88,196,9513,56319652,22,0
35,78,46690,12514781,24,0
69,156,52137,18515569,22,0
268,599,14535,50025324,19,0
27,62,40072,11518158,24,0
271,608,95596,62235654,19,0
46,103,24623,12600073,23,0
118,265,109158,63329905,21,0
58,130,64395,29960806,23,0
183,411,78775,74413953,20,0
278,622,79648,43865278,19,0
291,651,87842,55776897,19,1
104,234,50609,30631410,22,0
24,54,20799,45294764,25,0
96,215,66647,62701736,22,0
18,41,64915,53762841,25,0
9,20,7735,4048891,27,0
121,271,74548,59458036,21,0
8,17,57460,59672677,27,0
26,59,44071,73063199,25,0
124,277,53033,57587797,21,1
40,89,27287,74723094,24,0
9,21,46272,1437095,27,0
15,33,31401,2636234,26,0
46,103,27014,57325780,23,0
201,450,33116,22810731,20,0
192,430,34941,45687007,20,0
76,171,80033,21374285,22,0
92,206,90402,46753757,22,0
50,113,56652,3513935,23,0
321,717,7563,58097092,19,0
140,313,24500,9374521,21,1
17,39,30020,8704376,25,0
58,130,35148,56065792,23,0
7,17,50037,308342,27,0
16,37,32234,35000012,25,0
9,21,6601,7043921,27,0
29,65,61035,1852398,24,0
10,22,30495,41219563,27,0
15,34,25893,21386372,26,0
9,21,44190,59733354,27,0
38,85,11852,46053098,24,0
26,59,14628,23336752,25,0
6,14,7127,10014284,28,0
8,17,39019,32232225,27,0
21,47,34326,33592468,25,0
201,450,38525,60456652,20,0
86,193,45530,57966404,22,0
73,163,55785,45509350,22,0
27,62,11861,9778547,24,0
134,300,37675,17530417,21,1
146,326,45194,58114082,21,1
88,196,38165,30570611,22,0
15,34,38555,38143704,26,0
121,271,14831,38557992,21,0
121,271,83045,66508606,21,0
72,162,73109,19593222,22,0
36,82,35447,4463119,24,0
15,34,14617,2868081,26,0
46,103,63984,55662022,23,0
30,68,47778,56283365,24,0
14,32,31265,4298668,26,0
5,11,24297,33838609,28,0
146,326,13543,43007328,21,0
9,20,73050,58994124,27,0
23,51,80146,74779279,25,0
60,136,33244,74172504,23,0
27,62,39877,56652070,24,0
265,594,78528,63784230,20,0
21,47,43067,39922671,25,0
116,259,55148,66877224,21,0
23,51,60155,11244672,25,0
14,32,63345,64834784,26,0
18,41,38520,14796639,23,0
139,311,44190,68279065,21,0
55,124,16911,37942089,23,0
194,434,24918,44071554,20,0
7,17,60192,73507844,27,0
121,271,78433,7531694,21,1
86,193,25091,38384803,22,0
114,257,89735,58677804,21,0
10,24,13105,48150987,26,0
116,259,40587,59687802,21,0
88,284,53077,73039697,22,0
84,187,44751,34225338,22,0
180,403,65968,13504238,20,1
26,58,53271,35468254,25,0
121,271,63310,71928859,21,0
58,130,35232,1211583,23,0
291,651,65550,35356487,19,0
76,171,46210,21928175,22,0
11,25,52588,48256584,26,0
13,31,55052,68920054,26,0
69,156,30416,28509975,22,0
18,41,23146,68920970,25,0
55,124,71125,64491689,23,0
13,29,101149,67626737,26,0
88,196,69698,62768805,22,0
88,196,42204,43306811,22,0
15,34,21364,21471990,26,0
17,39,44190,48580820,25,0
5,11,53089,46734473,28,0
19,44,25995,6773718,25,0
191,428,65031,7237117,20,1
10,23,93930,72160462,27,0
17,39,38656,44594073,25,0
25,56,63769,45231311,25,0
100,224,74538,45569396,22,0
21,46,20460,6619015,25,0
8,19,21159,54351520,27,0
27,62,21686,68311440,24,0
84,189,16065,42711557,22,0
27,62,71070,40407759,24,0
16,37,27172,3672022,26,0
16,35,15252,4493435,26,0
35,78,76385,4730387,24,0
27,62,77893,73502998,24,0
55,124,87357,46555781,23,0
24,54,20886,43029939,25,0
50,113,61193,50056652,23,0
3,7,27229,60151715,29,0
53,118,6871,35930169,23,0
121,271,38113,40549755,21,0
78,174,42095,50643852,22,0
139,311,61373,49459050,21,0
183,411,61033,28780326,20,0
66,148,97583,55975030,23,0
63,142,52003,5821927,23,0
28,64,36625,19814663,24,0
29,65,37050,29568641,24,0
25,56,37398,40617702,25,0
30,68,66248,49008424,24,0
4,9,27833,12840083,29,0
31,71,38813,6935773,24,0
139,311,89013,34118549,21,0
33,74,38273,3405059,24,0
48,108,47228,26605470,23,0
12,28,22123,37607738,26,0
112,251,41201,10408888,21,1
21,47,49536,36906070,25,0
6,13,52111,48382566,28,0
22,49,43289,5270453,25,0
6,14,21996,35376614,28,0
105,236,78241,12115308,22,0
63,142,60676,47164043,23,0
96,215,38607,61424447,22,0
39,88,50671,28502240,24,0
35,78,41129,66027277,24,0
138,310,106748,71233179,21,0
10,23,47295,14856952,27,0
63,142,22735,22123962,23,0
69,156,55138,48216968,22,0
30,68,28545,7419732,24,0
29,65,49865,36332256,24,0
110,247,33075,9404205,21,1
31,71,31428,68405522,24,0
146,326,56260,45508686,21,0
31,71,38139,7082595,24,0
17,39,31421,5361934,25,0
76,171,30514,42465536,22,0
101,225,40006,41611047,22,0
6,15,27934,618480,27,0
16,37,41906,7850280,26,0
58,130,106901,53452143,23,0
13,30,22234,36406765,26,0
12,28,39573,21343628,26,0
214,478,71642,71092196,20,1
60,136,75742,35816429,23,0
167,375,66908,40589743,21,1
5,13,73598,47427453,28,0
92,206,51637,51763057,22,0
46,104,50843,60841623,23,0
21,48,70523,60527795,25,0
34,77,25206,29970168,24,0
178,398,43099,21624451,20,0
44,98,36909,13902423,23,0
84,187,29208,10377110,22,0
31,71,96363,60552458,24,0
88,196,47552,15280533,22,0
16,37,29245,11914707,26,0
80,179,7154,49583952,22,0
139,311,58821,6308106,21,1
50,113,66212,55796220,23,0
192,430,55967,9067424,20,0
27,62,31556,12508250,24,0
23,51,38146,28307934,25,0
9,21,40481,49383215,27,0
50,113,32216,51074956,23,0
33,74,91069,69140181,24,0
84,187,66509,35991375,22,0
45,102,70571,13812691,23,0
9,20,24979,320798,27,0
8,18,14151,23235284,27,0
23,51,49694,4523395,25,0
38,85,63070,5248951,24,0
3,8,47162,49777432,29,0
105,236,21072,23649478,22,0
22,49,57231,57260264,25,0
32,73,14395,49365159,24,0
57,127,32522,56365631,23,0
101,225,73177,68512559,22,0
20,45,14334,15733745,25,0
36,82,28898,38760584,24,0
20,45,22523,64370127,25,0
10,23,31617,16208669,27,0
9,20,67635,59510152,27,0
23,51,21378,31434253,25,0
19,43,42139,1222601,25,0
237,532,62031,19891503,20,1
10,22,52103,38971228,27,0
12,27,30583,64388745,26,0
43,96,29956,14370253,23,0
20,45,31027,71285977,25,0
98,220,44517,47991326,22,1
319,714,73830,46670950,19,1
23,51,9630,16790314,25,0
8,17,8386,1987822,27,0
92,206,50019,65642750,22,0
263,588,45584,73506980,20,0
33,74,57338,10003728,24,0
9,21,47721,54129951,27,0
155,348,61973,18047130,21,0
12,27,4550,9246332,26,0
24,54,60970,68285418,25,0
9,20,25545,784721,27,0
116,259,27733,13912796,21,1
50,113,41186,25810914,23,0
8,19,50015,23424458,27,0
42,94,46297,34641871,24,0
110,247,45482,34012480,21,0
96,215,34955,57425567,22,0
9,21,13112,10186378,27,0
29,65,54274,10611440,24,0
123,275,18500,38417621,21,0
42,94,86178,70992779,24,0
27,62,7971,23418644,24,0
30,68,53633,48082731,24,0
110,247,81963,44052407,21,0
305,682,75864,25613765,19,1
18,41,32596,5966845,25,0
16,35,49260,49391130,26,0
33,74,19295,35141065,24,0
12,28,47905,46707097,26,0
38,85,80408,73979496,24,0
101,225,59283,56764865,22,0
23,52,45579,8553059,25,0
73,163,65413,10294403,22,0
257,575,7962,26257073,20,0
66,149,33727,27823926,23,0
20,44,83527,72583271,25,0
46,103,47809,37538576,23,0
163,364,90311,8581442,21,1
118,265,19459,52175901,21,0
21,47,28943,2343615,25,0
15,34,27506,2973602,26,0
21,47,49015,41218463,25,0
14,32,9002,12943061,26,0
41,92,37418,12690699,24,0
8,19,79141,523622,27,0
119,267,82218,4412481,21,1
139,311,62552,15412155,21,1
53,118,64636,16775984,23,0
6,15,12099,26465168,27,0
46,103,81807,48858256,23,0
223,498,73078,41997737,20,0
63,142,17439,25086538,23,0
7,16,71792,57931628,27,0
88,196,14618,45074463,22,0
2,5,37590,24376713,30,0
58,130,38482,41744544,23,0
160,359,57578,14726901,21,1
30,68,14755,14031571,24,0
29,65,20691,15822166,24,0
174,389,18409,65995570,20,0
139,311,63344,65862831,21,0
221,494,59042,51584698,20,0
18,40,29161,69299379,25,0
20,46,25771,9736446,25,0
38,85,38002,8041399,24,0
13,29,8450,2220659,26,0
105,236,13593,73723637,22,0
235,527,40671,18629004,20,0
21,48,43726,56595112,25,0
167,375,93822,54123254,21,1
56,125,44438,35483920,23,0
22,49,44843,5062958,25,0
12,28,71419,55268763,26,0
116,259,19244,40927267,21,0
31,71,38945,5788268,24,0
192,430,44146,58363933,20,0
69,156,14034,24660448,22,0
38,85,72860,5170867,24,0
3,8,14762,70269112,29,0
35,79,54232,13577944,24,0
60,136,31122,34471933,23,0
66,149,13939,27082205,23,0
31,71,30454,10303646,24,0
64,143,31962,14968980,23,0
60,136,59490,4684631,23,0
77,172,60869,28622775,22,0
84,187,65117,9778739,22,0
21,47,79634,46373217,25,0
146,326,28096,24175953,21,1
263,588,68337,34504584,20,0
4,9,19022,3848311,28,0
20,45,37603,9975665,25,0
197,442,20903,19561342,20,0
11,24,12883,1454778,26,0
51,115,33234,16102842,23,0
38,85,52180,62325679,24,0
13,29,35419,24325411,26,0
76,171,47532,31234646,22,0
6,14,46388,43720841,28,0
18,41,32927,11647604,25,0
8,17,30449,35175489,27,0
73,163,26150,24247484,22,0
51,114,12031,10312100,23,0
80,180,50850,34604456,22,0
211,472,78939,68544414,20,1
48,108,38617,39975093,23,0
36,82,20300,13713956,24,0
160,358,24405,54424980,21,0
211,472,87836,56673523,20,0
63,142,42754,975490,23,0
21,47,62437,56514882,25,0
306,685,52358,43234470,19,1
279,625,75738,44819615,19,0
80,179,58262,53351132,22,0
30,67,50020,1798257,24,0
38,85,26245,30274437,24,0
8,18,6920,10189814,27,0
36,82,99400,71261232,24,0
17,39,65958,37753867,25,0
143,320,71099,38764558,21,0
11,24,53684,60084462,26,0
55,124,68759,62857996,23,0
11,25,17280,33670197,26,0
101,225,66767,27267132,22,0
179,401,78571,36989749,20,0
192,430,60283,32546791,20,0
197,440,34440,69518761,20,0
130,292,25479,41511792,21,0
40,89,39861,45256811,24,0
127,284,32993,16739117,21,0
12,26,80674,70602507,26,0
99,222,73070,59872560,22,0
7,17,72367,30165238,27,0
152,340,53474,38318194,21,0
231,517,39760,26469485,20,0
24,54,16169,41896234,25,0
22,50,31523,44903464,25,0
50,113,33585,14803665,23,0
32,72,59078,61412597,24,0
38,85,24624,10837810,24,0
58,130,68831,47290461,23,0
22,49,6071,26922795,25,0
242,542,40716,65801860,20,0
201,450,53897,11194465,20,0
127,284,7168,65079063,21,0
152,342,78676,32989803,21,0
13,30,69004,69818463,26,0
40,89,21004,5850702,23,0
14,32,82176,60103226,26,0
88,196,37794,52676297,22,0
15,34,12771,5807422,26,0
201,450,81578,67848583,20,0
22,49,22794,40927362,25,0
183,411,42581,38261263,20,0
3,8,11943,2544498,29,0
23,51,36569,47573045,25,0
31,71,33216,31544634,24,0
251,562,14420,41594884,20,0
48,108,47575,15647821,23,0
15,35,65738,45635757,26,0
116,259,50448,35654838,21,0
57,128,56179,7691842,23,0
3,8,26499,68090203,29,0
79,177,74919,72296412,22,0
21,47,28478,67710585,25,0
211,472,86911,66384295,20,0
38,85,86334,15058174,24,0
60,135,78231,66571411,23,0
42,94,64089,39214138,24,0
175,392,52738,21150710,20,1
23,51,52220,2227883,25,0
221,494,69862,62834715,20,0
76,171,59510,66918443,22,0
11,25,61997,49583519,26,0
231,517,40563,38517091,20,0
35,78,32855,11129855,24,0
66,149,62128,73693299,23,0
14,32,55543,66423027,26,0
26,59,71982,73421011,25,0
192,430,58845,24592252,20,1
80,179,32735,15802453,22,0
160,358,43065,36374135,21,0
42,94,25662,17562847,24,0
85,191,65108,30994147,22,0
50,113,74645,67933552,23,0
23,51,48192,9523631,25,0
2,4,84223,58549065,30,0
25,140,57182,64721734,25,0
10,22,47005,2349537,27,0
4,10,39581,30975859,28,0
12,28,34212,3922418,26,0
160,358,60864,38519087,21,0
20,46,54480,66780284,25,0
23,51,48982,44182594,25,0
5,11,26139,46996453,28,0
29,65,22544,25476834,24,0
201,450,53517,30336965,20,0
12,28,13362,10647457,26,0
4,9,47592,50660825,28,0
315,704,65912,71240613,19,0
24,54,41306,40329034,25,0
63,142,26767,11766910,23,0
160,358,68762,51970255,21,0
278,622,91279,64287144,19,0
16,35,25594,47535897,26,0
175,392,79141,40971267,20,0
14,32,25622,1379379,26,0
26,58,89944,73174429,25,0
148,332,45877,53716099,21,0
29,65,20845,30560785,24,0
31,71,21177,68966610,24,0
309,691,47058,31835252,19,0
9,21,32482,49669965,27,0
30,68,74405,5075374,24,0
36,82,27998,71690390,24,0
63,142,85572,54301562,23,0
166,373,69036,61355103,21,1
101,225,45027,13783822,22,0
8,18,48175,21036171,27,0
29,65,42016,7668506,24,0
13,29,60432,40981446,26,0
253,567,60516,55151130,20,0
53,118,26563,26673064,23,0
24,54,56531,9150262,25,0
33,74,63917,46523830,24,0
74,167,52712,27788361,22,0
110,247,55298,20714891,21,1
38,85,46267,3631290,24,0
19,43,20446,9461080,25,0
30,68,12948,20410253,24,0
14,32,61432,62861600,26,0
84,187,25032,13871656,22,0
96,215,30938,48547734,22,0
192,430,41632,4816411,20,1
19,43,26520,6413554,25,0
11,24,36706,2445201,26,0
251,562,59896,41478427,20,0
27,62,78680,73630916,24,0
13,29,8495,8965294,26,0
33,74,71131,16134497,24,0
4,9,52648,47479837,28,0
50,113,33803,70394867,23,0
185,414,54326,24008305,20,0
17,39,59001,11227192,25,0
231,517,23507,34290618,23,0
89,200,24640,30392762,22,0
8,17,28513,71330837,27,0
139,311,56085,58744561,21,0
13,31,60941,42936818,26,0
41,93,30496,23808430,24,0
101,225,93283,70960991,22,0
7,17,63584,1731191,27,0
175,392,49692,46797222,20,1
146,326,53237,35473178,21,0
11,24,64552,62076378,26,0
7,16,31916,9793952,27,0
18,41,56148,62477575,25,0
31,71,44281,5869844,24,0
11,25,26970,4340569,26,0
88,196,48172,53400360,22,0
105,236,44314,56122607,22,0
55,124,4662,43449176,23,0
249,557,16786,33247711,20,0
31,71,48054,32041307,24,0
218,487,42351,45127121,20,1
31,71,81452,65463164,24,0
73,165,71006,35961744,22,0
46,103,45596,13043745,23,0
110,247,72132,66098818,21,0
63,142,36544,25750182,23,0
14,32,21330,69819788,26,0
26,59,22136,8237670,25,0
55,124,32194,11976054,23,0
18,41,69403,54687649,25,0
50,113,25896,13229845,23,0
105,236,84721,41110475,22,0
36,82,28144,24195640,24,0
36,82,69629,60771983,24,0
53,118,39848,15983821,23,0
183,411,84800,65649641,20,0
27,62,65263,5910365,24,0
143,320,47750,53642640,21,0
253,567,32223,31566589,20,0
46,103,50963,59556841,23,0
38,85,27321,4793739,24,0
305,682,69120,49483674,19,0
21,48,52082,29882170,25,0
121,271,13545,40562925,21,0
35,78,67554,49148840,24,0
37,83,27420,35217793,24,0
5,13,27320,34045741,28,0
146,326,55397,31662096,21,0
118,264,84059,23569869,21,1
5,12,67397,54774245,28,0
28,63,25835,7004450,24,0
121,271,57067,71477445,21,0
97,218,15744,41161229,22,0
9,20,104438,65444142,27,0
78,174,62700,35060429,22,0
128,288,55711,26260377,21,0
152,342,68099,54496062,21,0
16,37,55435,47341801,26,0
30,68,49504,8374045,24,0
9,20,23945,35746800,27,0
48,108,30314,64629112,23,0
8,19,25552,60877062,27,0
42,94,32272,73244692,24,0
16,37,25947,15441671,26,0
118,265,41405,34508385,21,0
13,29,38096,2601730,26,0
23,51,52302,44633573,25,0
11,24,31648,1957421,26,0
16,37,21422,1473817,26,0
27,62,60818,44493751,24,0
69,156,41470,42113619,22,0
133,297,65544,50459260,21,0
265,594,80189,71382923,20,0
21,47,61720,2860953,25,0
15,34,20255,34380710,26,0
139,311,44018,37904694,21,0
40,89,61812,58988543,24,0
24,55,33556,9206958,25,0
110,247,57709,24956072,21,1
192,430,61837,16885354,20,1
23,51,19380,40764927,25,0
96,215,81558,29833843,22,0
11,25,36139,1258575,26,0
76,171,51203,44922627,22,0
3,6,25337,35387739,29,0
97,218,36848,6945992,22,0
33,74,39640,1488201,24,0
36,81,39942,36545301,24,0
36,82,50790,14529546,24,0
16,37,19080,8546162,26,0
35,78,26807,41154690,24,0
36,82,54325,26132563,24,0
7,17,27725,44084510,27,0
137,307,91110,68834882,21,1
253,567,23320,72234147,20,0
22,49,42056,51256882,25,0
101,225,39361,15553704,22,0
21,47,61427,59570300,25,0
10,22,67090,55609646,27,0
10,23,16182,15794325,27,0
9,21,88136,69180689,27,0
44,98,85582,71791075,23,0
131,293,49548,22915842,21,1
33,74,38626,34516731,24,0
34,76,16615,9280435,24,0
17,39,43309,48593594,25,0
44,98,63633,61143385,23,0
80,179,28803,6778454,22,0
4,9,36105,24658087,29,0
231,517,18013,51942786,20,0
152,342,48016,34641149,21,0
175,392,27670,37848635,20,0
63,142,28187,6208493,23,0
0,2,77255,61557467,32,0
98,220,94964,6913408,22,0
48,108,50671,7720901,23,0
31,71,40370,53139841,24,0
46,103,30418,10755314,23,0
29,65,19410,16594204,24,0
146,326,62903,25317479,21,0
146,326,35690,39659750,21,0
24,54,29459,10787268,25,0
16,36,59354,41086741,26,0
15,34,28376,2415281,26,0
95,213,19031,53451913,22,0
33,74,50184,2554800,24,0
